"A windshield";"Un parebrise";"True";"5";"5"
"Affordable";"Abordable";"True";"5";"5"
"A/to tow-away";"Un remorquage/remorquer";"True";"5";"5"
"An auto-free zone/ a car-free ";"zone/pedestrian zone/";"True";"5";"5"
"traffic-free zone";"Une zone piétonne";"True";"5";"5"
"An engine";"Un moteur";"True";"6";"6"
"An exhaust pipe";"Un pot d’échappement";"True";"6";"6"
"An indicator";"Un clignotant";"True";"6";"6"
"Autobahn racing";"Course sur l’autoroute";"True";"7";"7"
"Exhaust fumes";"Des gaz d’échappement";"True";"7";"7"
"Gas/petrol";"Essence";"True";"7";"7"
"Ground/land transportation";"Transport terrestre";"True";"8";"8"
"Heavy traffic";"Circulation dense";"True";"8";"8"
"Light/noise/sound pollution";"Pollution visuelle/sonore";"True";"8";"8"
"Neutral (gear)";"En position neutre";"True";"9";"9"
"Reverse gear";"Marche arrière";"True";"9";"9"
"Road rage";"Violence au volant";"True";"9";"9"
"Smog";"Nuage de pollution";"True";"10";"10"
"To adjust";"Ajuster";"True";"10";"10"
"To be congested";"Etre embouteillé";"True";"10";"10"
"To be dazzled";"Etre aveuglé";"True";"1";"1"
"To be held up by roadworks/diversions/ accidents";"Etre retenu/bloqué par des travaux - diversion - accidents";"True";"1";"1"
"To be stuck in traffic jam/congestion";"Etre coincé dans "les embouteillages";"True";"1";"1"
"To be towed";"Etre remorqué";"True";"1";"1"
"To break down (vehicle)";"Etre en panne";"True";"1";"1"
"To collide with";"Entrer en collision avec";"True";"1";"1"
"To commute";"Faire l’aller retour maison-travail";"True";"1";"1"
"To cut someone up";"Couper quelqu’un sur sa voie";"True";"1";"1"
"To do village-skirting";"Visiter les villages le long de "la route";"True";"1";"1"
"To drive away";"Faire partir";"True";"1";"1"
"To drive off";"S’éloigner";"True";"1";"1"
"To drive through (a forest)";"Conduire à travers (une forêt)";"True";"1";"1"
"To drop someone off";"Déposer quelqu’un";"True";"1";"1"
"To face the oncoming traffic";"Subir le trafic qui se rapproche";"True";"1";"1"
"To fill up";"Faire le plein";"True";"1";"1"
"To flag someone down";"Faire signe à quelqu’un de s’arrêter";"True";"1";"1"
"To get a flat tire/puncture";"Avoir un pneu crevé";"True";"1";"1"
"To get around";"Bouger - voyager";"True";"1";"1"
"To give off a funny smell/smoke";"Produire une drôle d’odeur/de fumée";"True";"1";"1"
"To go off the road";"Quitter la route";"True";"1";"1"
"To have a head-on collision";"Subir une collision frontale";"True";"1";"1"
"To hire a vehicle";"Louer un véhicule";"True";"1";"1"
"To honk/hoot/toot the horn";"Klaxonner";"True";"1";"1"
"To knock/run over someone";"Renverser quelqu’un";"True";"1";"1"
"To lift a car";"Soulever une voiture";"True";"1";"1"
"To obey the traffic law";"Respecter le code de la route";"True";"1";"1"
"To overtake";"Dépasser";"True";"1";"1"
"To pick someone up";"Aller chercher quelqu’un";"True";"1";"1"
